Year 995 | ********* 9 movies
Year 957 | ******* 7 movies
Year 003 | ******* 7 movies
Year 014 | ****** 6 movies
Year 009 | ****** 6 movies
Year 001 | ****** 6 movies
Year 000 | ****** 6 movies
Year 999 | ***** 5 movies
Year 998 | ***** 5 movies
Year 997 | ***** 5 movies
Year 994 | ***** 5 movies
Year 984 | ***** 5 movies
Year 975 | ***** 5 movies
Year 011 | ***** 5 movies
Year 010 | ***** 5 movies
Year 007 | ***** 5 movies
Year 006 | ***** 5 movies
Year 004 | ***** 5 movies
Year 002 | ***** 5 movies
Year 993 | **** 4 movies
Year 988 | **** 4 movies
Year 986 | **** 4 movies
Year 980 | **** 4 movies
Year 979 | **** 4 movies
Year 959 | **** 4 movies
Year 954 | **** 4 movies
Year 017 | **** 4 movies
Year 016 | **** 4 movies
Year 008 | **** 4 movies
Year 996 | *** 3 movies
Year 991 | *** 3 movies
Year 985 | *** 3 movies
Year 982 | *** 3 movies
Year 976 | *** 3 movies
Year 966 | *** 3 movies
Year 950 | *** 3 movies
Year 940 | *** 3 movies
Year 939 | *** 3 movies
Year 5/I | *** 3 movies
Year 013 | *** 3 movies
Year 012 | *** 3 movies
Year 005 | *** 3 movies
Year 992 | ** 2 movies
Year 989 | ** 2 movies
Year 987 | ** 2 movies
Year 983 | ** 2 movies
Year 981 | ** 2 movies
Year 977 | ** 2 movies
Year 974 | ** 2 movies
Year 973 | ** 2 movies
Year 968 | ** 2 movies
Year 963 | ** 2 movies
Year 962 | ** 2 movies
Year 961 | ** 2 movies
Year 960 | ** 2 movies
Year 958 | ** 2 movies
Year 953 | ** 2 movies
Year 952 | ** 2 movies
Year 948 | ** 2 movies
Year 946 | ** 2 movies
Year 941 | ** 2 movies
Year 931 | ** 2 movies
Year 927 | ** 2 movies
Year 990 | * 1 movie
Year 978 | * 1 movie
Year 972 | * 1 movie
Year 971 | * 1 movie
Year 969 | * 1 movie
Year 967 | * 1 movie
Year 965 | * 1 movie
Year 964 | * 1 movie
Year 955 | * 1 movie
Year 949 | * 1 movie
Year 944 | * 1 movie
Year 942 | * 1 movie
Year 936 | * 1 movie
Year 934 | * 1 movie
Year 928 | * 1 movie
Year 926 | * 1 movie
Year 925 | * 1 movie
Year 921 | * 1 movie
Year 7/I | * 1 movie
Year 6/I | * 1 movie
Year 3/I | * 1 movie
Year 015 | * 1 movie
